	72	10268	4172	32767	379	209	-199
7187	73	3140	1108	11308	-113	-121	66
7286	74	3812	-348	15396	300	42	-328
7386	75	4636	168	15848	423	23	208
7485	76	4328	68	15744	439	103	544
7584	77	3760	428	16200	230	87	-446
7684	78	4500	816	15556	167	-40	-657
7784	79	4068	340	15804	340	91	196
7883	80	4404	504	15652	341	12	-118
7983	81	3032	-888	16004	397	98	279
8082	82	3404	-412	16704	247	52	-235
8181	83	3368	-348	15380	310	59	-172
8281	84	3968	76	15524	360	75	56
8380	85	3760	-112	16012	335	54	-274
8480	86	4280	672	15836	316	-147	-270
8580	87	5692	1492	16016	446	-130	419
8679	88	4148	516	14760	685	206	733
8778	89	4524	-332	15412	231	5	-14
8878	90	4040	204	15384	-131	198	-381
8977	91	4116	132	15644	567	49	-506
9076	92	4500	980	15528	514	-91	-94
9176	93	4120	308	15556	-24	150	621
9276	94	4288	-56	15824	222	143	-219
9375	95	4108	480	15288	282	7	-162
9475	96	4064	404	16064	425	52	-76
9574	97	4256	48	15872	592	-52	-71
9673	98	3644	-36	15544	141	50	75
9773	99	3880	-184	15304	87	100	-226
9872	100	3904	-120	15884	351	76	-77
9972	101	4268	-388	14852	541	-213	-49
10072	102	6184	-448	18684	351	75	-124
10171	103	4864	-708	14980	237	-53	-14
10270	104	4232	488	16216	314	42	-45
10370	105	4028	40	15628	339	37	-75
10469	106	3948	-8	15752	318	30	-57
10568	107	3964	16	15696	359	-5	-87
10668	108	4428	204	16328	285	71	-20
10768	109	4152	656	15952	335	48	-45
10867	110	3944	640	15516	347	54	-128
10967	111	4244	116	15712	322	52	35
11066	112	6196	1836	15116	254	8	-463
11165	113	2988	688	15016	295	148	189
11265	114	3920	1396	14860	357	-180	-17
11364	115	4180	160	15740	312	108	-176
11463	116	3916	-232	16448	384	76	27
11564	117	4224	-264	15772	301	38	-103
11663	118	4040	232	15772	355	-37	-62
11762	119	1268	5456	20404	394	-87	-110
11862	120	4188	92	15840	278	-5	61
11961	121	4208	168	15896	379	42	-134
12060	122	3820	1404	14500	555	-165	-13
12160	123	4364	268	15888	292	309	-168
12259	124	4436	856	15436	357	-20	-113
12359	125	3896	-56	16176	484	34	88
12459	126	4076	-32	15788	290	10	-118
12558	127	4636	-144	15124	310	184	143
12657	128	3528	-584	16188	279	225	168
12756	129	2812	-812	16236	47	-37	-1370
12856	130	6068	-984	19000	339	-48	-649
12955	131	3724	-324	16864	577	365	1494
13054	132	3956	104	15716	269	-4	-327
13154	133	4348	556	15404	299	-30	-242
13254	134	4644	356	16256	406	-16	90
13353	135	4080	460	15940	373	84	70
13453	136	4024	376	15280	273	98	100
13552	137	3804	1428	15216	264	-8	-219
13651	138	3876	-232	15300	322	57	-39
13751	139	4028	308	15564	206	37	-754
13850	140	4028	200	15860	290	-31	-43
13949	141	4824	360	15524	422	28	365
14050	142	3948	112	16072	421	123	381
14149	143	4192	-60	15720	226	104	-237
14248	144	3428	-652	15980	280	155	-84
14348	145	3816	-160	15708	180	-30	-719
14447	146	3892	56	15908	331	-121	-302
14546	147	7832	3488	14664	509	-228	231
14646	148	4204	-264	15952	752	102	1833
14745	149	3660	-200	16004	433	62	490
148480	267	-88	-366
5	150	4040	-132	15714945	151	4452	-184	19256	391	36	426
15044	152	7052	-648	14456	491	-743	115
15143	153	8724	-3884	6052	503	167	7
15243	154	3920	-752	14652	359	-66	-77
15342	155	3928	-64	16112	255	42	-568
15441	156	4048	-280	15856	434	49	335
15541	157	4288	160	15768	386	49	189
15641	158	3976	40	15808	316	97	-44
15740	159	4416	336	16364	211	82	-407
15840	160	4532	-152	15716	295	49	111
15939	161	4264	476	15812	382	69	242
16038	162	3968	-164	15820	293	115	38
16138	163	4032	192	15536	247	142	-161
16237	164	4172	356	15252	229	107	-260
16337	165	4084	428	15836	324	45	-91
16437	166	4036	416	15824	323	45	-85
16536	167	3244	-568	15944	296	25	-100
16635	168	3840	80	15872	294	31	-177
16735	169	4028	-36	15920	341	39	-10
16834	170	4016	28	15796	313	39	-100
16933	171	4216	48	15800	356	34	23
17033	172	3228	-496	16324	347	91	52
17133	173	3776	-192	15892	276	31	-214
17232	174	3884	-108	15892	332	53	2
17332	175	4204	76	15796	311	33	-102
17431	176	4048	196	15736	341	42	-43
17530	177	4028	48	15560	332	55	-53
17630	178	4172	64	15800	329	51	-58
17729	179	4108	200	15748	324	50	-66
17828	180	4032	68	15884	329	55	-37
17928	181	4124	-4	15768	328	52	-61
18028	182	4132	88	15680	332	46	-57
18127	183	4088	44	15872	313	50	-67
18227	184	3944	104	15800	325	54	-47
18326	185	3968	108	15840	325	42	-79
18425	186	4104	196	15708	336	50	-75
18525	187	4104	144	15708	327	60	-35
18624	188	3924	148	15616	316	32	-82
18723	189	4024	-4	15732	311	60	-68
18824	190	3928	172	15428	332	46	-30
18923	191	3912	-4	15964	321	54	-47
19022	192	4120	80	15800	317	49	-89
19122	193	4184	160	15968	301	11	-178
19221	194	4300	352	15532	447	81	433
19320	195	3980	-104	15584	275	-6	-283
19420	196	4208	248	15692	322	-47	-157
